estate,division,field_no,bc,age_months,sd_vp,hect,crop,yph,code
Moragalla,Greenland,2,20126,33.0,VP,2.89,2546.09,881.0,GL
Moragalla,Imaduwa,2,4221,2.0,VP,3.0,924.0,308.0,IM
Moragalla,Imaduwa,4,2117,2.0,VP,2.0,786.0,393.0,IM
Moragalla,Imaduwa,6,30436,3.0,VP,2.79,2996.46,1074.0,IM
Moragalla,Imaduwa,9,2405,8.0,VP,2.0,754.0,377.0,IM
Moragalla,Imaduwa,8,28900,20.0,VP,4.0,5452.0,1363.0,IM
Moragalla,Imaduwa,11,3020,25.0,VP,3.75,1200.0,320.0,IM
Moragalla,Imaduwa,5,393,26.0,VP,2.0,242.0,121.0,IM
Moragalla,Welendava3,10,21150,9.0,VP,1.4,3592.3999999999996,2566.0,W03
Moragalla,Welendava3,4,4980,8.0,VP,4.36,353.16,81.0,W03
Moragalla,Welendava3,6,11683,25.0,VP,2.66,1167.74,439.0,W03
Moragalla,Welendava3,8,29143,25.0,VP,3.33,2757.2400000000002,828.0,W03
Moragalla,Welendava3,7,27969,33.0,VP,2.68,2315.52,864.0,W03
Moragalla,Hirikumbura,3,26279,2.0,VP,3.07,1108.27,361.0,HK
Moragalla,Hirikumbura,4,22226,7.0,VP,2.53,837.43,331.0,HK
Moragalla,Hirikumbura,8,19710,20.0,VP,3.0,699.0,233.0,HK
Moragalla,Hirikumbura,2B,10200,20.0,VP,0.76,3275.6,4310.0,HK
Moragalla,Hirikumbura,2A,10800,22.0,VP,0.8,3136.0,3920.0,HK
Moragalla,Hirikumbura,5,5100,25.0,VP,2.4,1423.2,593.0,HK
Moragalla,Hirikumbura,6,16686,33.0,VP,2.0,2172.0,1086.0,HK
