estate,division,field_no,bc,age_months,sd_vp,hect,crop,yph,code
Kelani,KelaniTea,13/14,17499,4,VP,2.2,1354.2,615.5454545454545,KL
Kelani,KelaniTea,29,15012,8,VP,2.22,442.68,199.4054054054054,KL
Kelani,KelaniTea,24,18051,9,VP,2.73,955.7699999999998,350.098901098901,KL
Kelani,KelaniTea,32,16482,11,VP,1.77,1092.66,617.3220338983051,KL
Kelani,KelaniTea,31,17385,13,VP,1.75,1131.25,646.4285714285714,KL
Kelani,KelaniTea,4,8607,18,VP,1.11,1124.68,1013.2252252252251,KL
Kelani,KelaniTea,27,8518,22,VP,2.92,1305.8400000000001,447.2054794520548,KL
Kelani,KelaniTea,28,7241,23,VP,1.0,903.0,903.0,KL
Kelani,KelaniTea,23,6225,26,VP,1.5,199.0,132.66666666666666,KL
Kelani,KelaniTea,25,4665,28,VP,1.0,1455.0,1455.0,KL
Kelani,KelaniTea,33,9724,35,VP,1.04,1922.9200000000003,1848.9615384615388,KL
Kelani,KelaniTea,8:A,22371,36,VP,2.28,2045.6399999999999,897.2105263157895,KL
Kelani,KelaniTea,30,9503,39,VP,1.0,1491.0,1491.0,KL
Kelani,KelaniTea,8 B,19524,40,VP,2.0,2814.0,1407.0,KL
Kelani,KelaniTea,34,19342,53,VP,2.0,2765.0,1382.5,KL
