estate,division,field_no,age_months,sd_vp,hect,crop,yph,code
Invery,Invery,5,5.0,VP,2.9,1699.3999999999999,586.0,IV
Invery,Invery,16,5.0,VP,7.0,3066.0,438.0,IV
Invery,Invery,3,6.0,VP,5.12,2181.12,426.0,IV
Invery,Invery,27,7.0,VP,1.0,774.1093223132115,774.1093223132115,IV
Invery,Invery,25,12.0,VP,1.0,1263.9180232899712,1263.9180232899712,IV
Invery,Invery,26,12.0,VP,1.0,1275.2377922767719,1275.2377922767719,IV
Invery,Invery,29,12.0,VP,1.0,1274.4588296131215,1274.4588296131215,IV
Invery,Invery,4,15.0,VP,5.0,7829.199827039864,1565.8399654079728,IV
Invery,Invery,19,16.0,VP,4.0,6702.449910912059,1675.6124777280147,IV
Invery,Invery,11,19.0,VP,4.0,5975.167576226906,1493.7918940567265,IV
Invery,Invery,28,23.0,VP,1.0,1665.7230656477082,1665.7230656477082,IV
Invery,Invery,12A,25.0,VP,3.18,5092.608378825611,1601.4491757313242,IV
Invery,Invery,12,27.0,VP,3.75,5932.350862180485,1581.960229914796,IV
Invery,Invery,18,28.0,VP,3.0,5111.348974552413,1703.7829915174711,IV
Invery,Invery,23,30.0,VP,2.5,4026.067919859962,1610.4271679439848,IV
Invery,Invery,8,32.0,VP,4.43,6587.611646337259,1487.0455183605552,IV
Invery,Invery,6,35.0,VP,2.17,3647.4720037963443,1680.8626745605275,IV
Invery,Invery,15,36.0,VP,2.0,3127.004452880696,1563.502226440348,IV
Invery,Invery,22,37.0,VP,2.0,3293.8611660776164,1646.9305830388082,IV
Invery,Invery,14,40.0,VP,2.42,3509.7372056374966,1450.3046304287177,IV
Invery,Invery,9,42.0,VP,4.1,6554.980887324364,1598.7758261766742,IV
Invery,Invery,31,48.0,VP,1.0,1603.816882228619,1603.816882228619,IV
Invery,Invery,7,50.0,VP,3.0,4580.976790970244,1526.992263656748,IV
Invery,Invery,30,52.0,VP,1.0,1621.8585179585225,1621.8585179585225,IV
Invery,Invery,21,56.0,VP,2.0,2695.4207172855613,1347.7103586427806,IV
Invery,Invery,20,57.0,VP,2.0,2685.570879592192,1342.785439796096,IV
Invery,Invery,24,58.0,VP,2.0,2867.9034196036314,1433.9517098018157,IV
Invery,Invery,10,60.0,VP,4.0,5532.119490092113,1383.0298725230282,IV
Invery,Ottery,1,5.0,VP,5.0,2670.0,534.0,OT
Invery,Ottery,25,6.0,VP,1.0,744.0,744.0,OT
Invery,Ottery,23,8.0,VP,3.0,1796.4606901097786,598.8202300365929,OT
Invery,Ottery,17,12.0,VP,3.0,2978.7608862159086,992.9202954053028,OT
Invery,Ottery,15,16.0,VP,5.37,9105.026785401316,1695.5357142274331,OT
Invery,Ottery,14,22.0,VP,3.0,5042.952877686092,1680.9842925620305,OT
Invery,Ottery,21,27.0,VP,1.0,1603.9099224565284,1603.9099224565284,OT
Invery,Ottery,22,27.0,VP,1.0,1715.815657301293,1715.815657301293,OT
Invery,Ottery,24,28.0,VP,1.0,1647.9795174935462,1647.9795174935462,OT
Invery,Ottery,12,34.0,VP,3.5,5399.667030062898,1542.7620085893996,OT
Invery,Ottery,19,39.0,VP,1.0,1627.192209923241,1627.192209923241,OT
Invery,Ottery,20,40.0,VP,1.0,1613.121452201528,1613.121452201528,OT
Invery,Ottery,13,47.0,VP,2.85,4439.47995956288,1557.7122665132913,OT
Invery,Ottery,27,48.0,VP,0.5,781.6844150030753,1563.3688300061506,OT
Invery,Ottery,1A,54.0,VP,5.69,8497.711573522021,1493.446673729705,OT
Invery,Ottery,26,56.0,VP,0.5,778.781340014547,1557.562680029094,OT
Invery,Ottery,18A,57.0,VP,1.0,1408.861140522603,1408.861140522603,OT
Robgill,Bonaccord,16,4.0,VP,2.64,2310.0,875.0,BC
Robgill,Bonaccord,23,5.0,VP,1.0,902.0,902.0,BC
Robgill,Bonaccord,12B,11.0,VP,3.65,3011.25,825.0,BC
Robgill,Bonaccord,11,13.0,VP,4.04,5033.84,1246.0,BC
Robgill,Bonaccord,19,17.0,VP,2.65,4226.75,1595.0,BC
Robgill,Bonaccord,12,22.0,VP,1.0,1566.0,1566.0,BC
Robgill,Bonaccord,5B,26.0,VP,3.33,4881.78,1466.0,BC
Robgill,Bonaccord,4,27.0,VP,2.96,4913.6,1660.0,BC
Robgill,Bonaccord,15,28.0,VP,1.67,2875.74,1722.0,BC
Robgill,Bonaccord,10,36.0,VP,6.63,9673.17,1459.0,BC
Robgill,Bonaccord,5A,36.0,VP,4.0,6224.0,1556.0,BC
Robgill,Bonaccord,24,40.0,VP,1.5,2472.0,1648.0,BC
Robgill,Bonaccord,17,48.0,VP,2.0,3380.0,1690.0,BC
Robgill,Bonaccord,14,52.0,VP,5.88,8043.84,1368.0,BC
Robgill,Singarawatte,7,55.0,SD,8.09,6884.59,851.0,SG
Robgill,Singarawatte,8B,4.0,VP,4.15,2602.05,627.0,SG
Robgill,Singarawatte,RP9,5.0,VP,1.0,665.0,665.0,SG
Robgill,Singarawatte,6A,8.0,VP,4.17,2139.21,513.0,SG
Robgill,Singarawatte,RP3B,15.0,VP,3.0,5121.0,1707.0,SG
Robgill,Singarawatte,RP1,16.0,VP,6.17,9773.28,1584.0,SG
Robgill,Singarawatte,RP2,24.0,VP,7.0,11704.0,1672.0,SG
Robgill,Singarawatte,RP3A,26.0,VP,3.78,5722.92,1514.0,SG
Robgill,Singarawatte,1A,28.0,VP,4.05,7038.9,1738.0,SG
Robgill,Singarawatte,RP2A,38.0,VP,6.56,9610.4,1465.0,SG
Robgill,Singarawatte,RP8,39.0,VP,1.0,1902.0,1902.0,SG
Robgill,Singarawatte,RP10,40.0,VP,1.1,1618.1000000000001,1471.0,SG
Robgill,Singarawatte,8A,40.0,VP,6.07,8558.7,1410.0,SG
